ID,SCORE,RANK
100093066,0.061275303,8421
100313000,0.149258256,3453
100330875,0.067295432,7900
100346385,0.066336393,8000
100443164,0.131434441,4144
100665488,0.10403657,5460
100715275,0.162320435,3030
100934653,0.037414849,10860
101261740,0.135708272,3985
101289399,0.037055314,10888
101322268,0.066237032,8008
101481847,0.151617885,3366
101510035,0.141337931,3786
101560417,0.095507681,5940
101606088,0.037626803,10837
101613482,0.04406029,10078
101632869,0.014631808,12202
101700904,0.077619612,7104
101777929,0.050386548,9413
101843330,0.165159404,2936
101904094,0.060971856,8456
102248065,0.063023388,8265
102320387,0.059831202,8560
102406404,0.148111939,3509
102457778,0.03679955,10916
102728454,0.302623212,765
102745076,0.251201689,1268
103080043,0.171928167,2731
103095050,0.167200208,2874
103154040,0.094367921,5997
103221498,0.159619391,3112
103311970,0.101380348,5610
103575822,0.061365008,8416
103583429,0.04944253,9533
103630217,0.08179599,6808
103647495,0.155956089,3229
103653343,0.104934812,5423
103711964,0.116897881,4801
103785908,0.124715805,4455
103814787,0.024015188,11966
103999673,0.16085434,3082
104076560,0.024416327,11944
104099043,0.095350385,5948
104172598,0.063750505,8196
104210458,0.094440699,5991
104241098,0.251498461,1267
104250888,0.050088227,9447
104263840,0.039959669,10542
104274086,0.035507023,11039
104313283,0.041160464,10422
104526629,0.016038418,12185
104717568,0.48951441,116
104722504,0.103376925,5499
104727666,0.245779693,1342
104793076,0.308485091,729
104833127,0.200424254,2063
104941800,0.056941628,8808
104950346,0.030908167,11494
105063188,0.093555987,6044
105172820,0.136071563,3967
105189533,0.085992038,6505
105261240,0.339085221,552
105295743,0.213867605,1822
105421958,0.060014606,8541
105422057,0.082514644,6746
105431331,0.036749899,10924
105456098,0.054974258,8985
105654202,0.09648931,5884
105695617,0.029238224,11619
105722688,0.053787112,9098
105745614,0.137381196,3927
105793097,0.112972438,4991
105828696,0.317531705,684
105905967,0.075254261,7279
105909150,0.124199688,4471
106130904,0.172278523,2713
106192406,0.263183177,1131
106247962,0.03558588,11031
106267604,0.287232041,901
106442457,0.216746688,1768
106506088,0.085569859,6529
106623174,0.027329504,11767
106627571,0.099692404,5703
106761315,0.064788878,8106
106859694,0.203407764,2005
106883652,0.032180309,11366
106979625,0.099390745,5715
106990262,0.201702297,2037
107013182,0.056382358,8855
107101461,0.06042105,8498
107200075,0.186914086,2356
107333156,0.052583754,9216
107495445,0.066268861,8007
107595849,0.25013876,1282
107645870,0.161382139,3070
107652186,0.02735126,11766
108001538,0.051716924,9296
108238798,0.043745458,10119
108271987,0.04336381,10165
108294436,0.09110868,6205
108449609,0.113161385,4974
108640788,0.093608081,6038
108660300,0.054097354,9066
108661622,0.022607923,12036
108676621,0.288112342,891
108709980,0.105647206,5381
108725704,0.102660954,5540
108871809,0.069641829,7691
108984029,0.069224656,7730
109038593,0.095281661,5952
109074813,0.103920996,5467
109128138,0.187602401,2342
109210457,0.176276028,2603
109249641,0.095653474,5931
109260008,0.343712687,533
109270030,0.101482391,5605
109319866,0.091141045,6202
109333922,0.096971512,5855
109445366,0.127475023,4342
109621414,0.044086874,10076
109773116,0.119506836,4685
109818882,0.346976519,510
109948733,0.027711809,11736
109998927,0.097524703,5822
110221105,0.095828712,5920
110258484,0.243849576,1371
110418359,0.362259746,442
110489508,0.092810631,6088
110493374,0.042366385,10270
110540943,0.135069132,4009
110570792,0.102745116,5531
110664334,0.173660219,2671
110679784,0.1346457,4024
110724562,0.111333132,5066
110741403,0.245574236,1346
110853273,0.043137014,10188
110888383,0.166318119,2897
110913434,0.05464828,9021
110919594,0.135251224,4000
111032214,0.040899456,10452
111137681,0.079416633,6963
111290409,0.039634526,10592
111351758,0.14527458,3630
111406615,0.110494137,5095
111445806,0.074894667,7298
111467843,0.249872386,1284
111540821,0.142379522,3738
111711967,0.042131186,10297
111777778,0.015563965,12194
111825797,0.103332877,5503
112011557,0.042811155,10222
112043076,0.062238574,8337
112071733,0.078377783,7044
112082393,0.08307296,6704
112158211,0.113077581,4980
112209329,0.146970749,3561
112281269,0.030310333,11545
112341312,0.074095368,7354
112354892,0.053584993,9112
112379900,0.242512465,1392
112408192,0.194469631,2175
112570996,0.177033722,2585
112692151,0.404771447,297
112842427,0.054840624,9001
112848032,0.036056459,10981
113000198,0.153895199,3288
113000609,0.041593075,10366
113026643,0.078432262,7037
113103101,0.067295194,7901
113130459,0.273135781,1037
113157612,0.041337132,10402
113325067,0.474408507,137
113358607,0.174173057,2660
113474476,0.048948407,9589
113948101,0.035033524,11079
114047791,0.066361248,7995
114050341,0.038448393,10737
114128165,0.125882387,4409
114227060,0.028411567,11680
114232073,0.045818985,9898
114446541,0.337954819,562
114692322,0.205558479,1962
114712432,0.037695527,10824
114893280,0.175308824,2629
114926446,0.06243223,8321
115041332,0.290194392,867
115117099,0.040687203,10468
115167222,0.184214175,2408
115233703,0.050257087,9423
115270484,0.076409042,7195
115442335,0.233786941,1503
115448693,0.120709717,4623
115605728,0.250217617,1281
115973569,0.104954422,5421
116179953,0.224248588,1656
116244814,0.198569834,2098
116447041,0.052334309,9245
116503287,0.031471074,11440
116512046,0.197867811,2107
116585608,0.223663747,1664
116740096,0.037646413,10835
116942485,0.120323837,4638
116951599,0.228080153,1596
116987169,0.037822187,10801
117032098,0.147533119,3535
117134567,0.106452286,5323
117175855,0.063481569,8217
117325309,0.034456074,11129
117359902,0.242843747,1385
117377228,0.090019584,6276
117393052,0.039327025,10625
117411616,0.060361683,8509
117669315,0.115085602,4886
117832148,0.137408614,3925
117890748,0.096807599,5864
117989441,0.278043449,983
118008159,0.178662658,2537
118023121,0.21294713,1839
118108634,0.051321507,9331
118116448,0.119313478,4695
118142739,0.047717154,9695
118146340,0.288528264,883
118183589,0.222798645,1678
118278315,0.124848068,4447
118280908,0.090750158,6233
118308473,0.145138681,3638
118398099,0.145298839,3627
118405230,0.173041463,2688
118492182,0.272052884,1050
118552915,0.271064341,1056
118751360,0.240101397,1414
118908094,0.021625221,12074
118955417,0.048781037,9605
119030673,0.039034188,10665
119186067,0.049007058,9584
119204669,0.152610838,3330
119210846,0.101005375,5629
119222687,0.228502929,1586
119245698,0.022331476,12046
119310235,0.411712766,271
119348260,0.14138186,3784
119401531,0.045199037,9974
119513418,0.033848763,11203
119549184,0.159121513,3125
119635833,0.063641429,8208
119694977,0.10416615,5452
119703306,0.607112467,27
119719135,0.056351364,8857
119756774,0.034375846,11142
119815859,0.029463589,11602
119833259,0.198780954,2094
120019054,0.106575429,5318
120051580,0.170450628,2777
120109791,0.219460368,1720
120185123,0.049494088,9528
120191756,0.03248024,11339
120213233,0.035799801,11010
120347849,0.079182982,6987
120563469,0.055038214,8974
120674615,0.443298638,203
120769492,0.049404263,9539
120778679,0.09860599,5761
120875932,0.147716701,3528
120975175,0.156855285,3208
121046806,0.036745906,10925
121056400,0.165181875,2935
121318224,0.53598991,64
121327940,0.032516658,11333
121377197,0.111169815,5074
121379020,0.049461067,9532
121441304,0.08625406,6485
121557772,0.052909493,9177
121724118,0.098786116,5747
121734790,0.159967601,3101
121765383,0.256652117,1205
121810331,0.457336187,168
121854336,0.051874995,9277
121901562,0.025332451,11896
122059269,0.061923325,8361
122071412,0.024666905,11929
122215682,0.050637901,9395
122265685,0.317658067,681
122293507,0.285857856,916
122328576,0.074616373,7317
122359904,0.410217822,278
122367696,0.158414841,3150
122534170,0.04653424,9821
122709689,0.194001198,2191
122792565,0.076980174,7152
122934388,0.033234894,11261
123013278,0.058657289,8666
123128173,0.126933753,4366
123154954,0.18339169,2429
123285777,0.046921968,9776
123393706,0.155258536,3250
123504346,0.136245012,3963
123650699,0.239432037,1419
123650761,0.195549667,2149
123705179,0.031093895,11482
123783515,0.068797827,7764
123800002,0.072264969,7495
123814117,0.203642547,2001
123903051,0.059071183,8624
124016302,0.07284838,7437
124047245,0.180687845,2484
124117372,0.068082094,7834
124280339,0.058765352,8653
124293452,0.261400402,1150
124301025,0.075080037,7287
124415595,0.179034531,2527
124459414,0.245295525,1352
124582373,0.068257391,7819
124582669,0.155525625,3242
124742405,0.049793303,9483
124804211,0.298926592,795
124810500,0.05376786,9101
124812663,0.044229984,10068
124819496,0.207120359,1931
124829290,0.289074421,879
124838021,0.162884355,3007
124867641,0.061239302,8427
124948998,0.0484308,9635
125033584,0.160221398,3096
125036600,0.03389281,11196
125044999,0.062941968,8280
125198867,0.079892993,6938
125377548,0.273345232,1033
125695622,0.031054378,11486
125744705,0.06109798,8443
125838205,0.218190551,1744
125875722,0.063181639,8249
126067878,0.059577703,8580
126072142,0.037881315,10793
126079524,0.15588969,3234
126449142,0.14836961,3496
126545273,0.039869547,10557
126577891,0.202109516,2028
126759700,0.474102736,138
126802351,0.10931921,5157
126815585,0.151266038,3381
126854494,0.029040456,11629
127152850,0.071153879,7582
127175749,0.134156048,4040
127216859,0.094043434,6009
127326237,0.066826344,7941
127354177,0.04035908,10496
127359664,0.103274405,5507
127400550,0.062011838,8355
127423871,0.194771349,2167
127480645,0.038003981,10784
