"feature_desciption","var","value","data_type"
"Homeowner Status","cons_homstat",0.0136831208778208,"string"
"Code indicating the original reason for entry into Medicare","cms_orig_reas_entitle_cd",0.00932300139008015,"string"
"Short Term Loan Index","cons_stlindex",0.00919464079737364,"integer"
"Managing Illness or Condition - Index","cons_hxmioc",0.00736860784951643,"integer"
"allowed cost per month for overall claims related to physician office in the past one year","total_physician_office_allowed_pmpm_cost",0.00497471237171335,"double"
"Binary indicator that a member is receiving a subsidy from CMS","cms_low_income_ind",0.00463044571293366,"integer"
"Member age {calculated using est_bday, relative to score/index date}","est_age",0.00375735707314188,"integer"
"visits per month for overall claims related to physician office in the past one year","total_physician_office_visit_ct_pmpm",0.00333914998077549,"double"
"count per month of member interactions via webstatement with a lag of _0 from the score date in the past one year","cnt_cp_webstatement_0",0.00332731951140162,"integer"
"Managing the Business of Health","cons_hxmboh",0.0032640265002514,"integer"
"Clinical Care - Discharges for Ambulatory Care Sensitive Conditions per 1K Medicare Enrollees","rwjf_preventable_ip_rate",0.00317470645647866,"double"
"count per month of prescriptions related to Tier 1 drugs in the past one year","rx_tier_1_pmpm_ct",0.00308302031883115,"float"
"cost per month of prescriptions related to mail drugs in the past one year","rx_mail_pmpm_cost",0.00295170210878117,"float"
"Health Outcomes - HIV prevalence","rwjf_hiv_rate",0.00293868859246991,"float"
"Total number of occupied housing units","atlas_totalocchu",0.00291207003637869,"double"
"Physical Environment - Average daily density of fine particulate matter in micrograms per cubic meter (PM2.5)","rwjf_air_pollute_density",0.00277483659164177,"float"
"days since last claim for non-behavioral health claims related to physician office in the past one year","med_physician_office_ds_clm",0.00260447783265801,"integer"
"Percent of population 65 or older","atlas_age65andolderpct2010",0.00257312708881725,"double"
"count per month of prescriptions related to CHEMOTHERAPY - PARP INHIBITORS drugs in the past one year {Based on Humana drug classification}","rx_hum_24_pmpm_ct",0.00253112892254,"float"
"Adult Diabetes Rate","atlas_pct_diabetes_adults13",0.00234124988908935,"double"
"Orchard farms","atlas_orchard_farms12",0.00227736535447044,"double"
"allowed cost per month for overall claims in the past one year","total_allowed_pmpm_cost",0.00217384874744906,"double"
"count per month of member interactions via vat in the past one year","cnt_cp_vat_pmpm_ct",0.00216675046582473,"float"
"Code indicating a member's race","cms_race_cd",0.00208571175061371,"string"
"cost per month for prescriptions in the past one year","rx_overall_pmpm_cost",0.00207151518736506,"float"
"allowed cost per month for overall claims related to outpatient facilities in the past one year","total_outpatient_allowed_pmpm_cost",0.00205495253024164,"double"
"Population Size","atlas_totalpopest2016",0.00204548815474254,"double"
"days since last claim for non-behavioral health claims related to outpatient facilities in the past one year","med_outpatient_ds_clm",0.00186980568454053,"integer"
"cost per month of prescriptions related to nonspecialty drugs in the past one year","rx_nonspecialty_pmpm_cost",0.0018177516192955,"float"
"count per month of member interactions via webstatement with a lag of _3 from the score date in the past one year","cnt_cp_webstatement_3",0.00175386708467658,"integer"
"cost per month of prescriptions related to maintenance drugs in the past one year","rx_maint_pmpm_cost",0.00173967052142794,"float"
"claims per month related to diseases of the skin and subcutaneous tissue : radiation-related disorders of the skin and subcutaneous tissue in the past one year {based on CMS diagnosis code level2}","cmsd2_skn_radiation_pmpm_ct",0.00171837567655497,"float"
"days since last claim for overall claims related to physician office in the past one year","total_physician_office_ds_clm",0.00170891130105587,"integer"
